NN1,NN2,FULL,StreetAddress,City,State,ZipCode,Country,Tel,InRefTo,Notes,Rate01
TZWhinham,WhinhamTZ,0002 - Tyler Z. Whinham,3070 Gorby Lane,Hattiesburg,MS,39402-2,US,601-241-5375,2-TZW,Tyler Z. Whinham,2
NFFredricksen,FredricksenNF,0003 - Natalie F. Fredricksen,1220 Simpson Avenue,Myerstown,PA,17067-3,US,717-866-0599,3-NFF,Natalie F. Fredricksen,3
DJLangdon,LangdonDJ,0004 - Declan J. Langdon,2762 University Drive,Chicago,IL,60601-4,US,312-729-0613,4-DJL,Declan J. Langdon,4
MASargent,SargentMA,0005 - Matilda A. Sargent,3617 Newton Street,Ogilvie,MN,56358-5,US,320-272-4462,5-MAS,Matilda A. Sargent,5
SHBoxall,BoxallSH,0006 - Sofia H. Boxall,3665 Saint Clair Street,Jackson,MS,39201-6,US,662-543-8481,6-SHB,Sofia H. Boxall,6
BEWalker,WalkerBE,0007 - Boyd E. Walker,2089 Barfield Lane,Carmel,IN,46032-7,US,317-571-0409,7-BEW,Boyd E. Walker,7
AKDouglas,DouglasAK,0008 - Archie K. Douglas,4396 Bombardier Way,Ann Arbor,MI,48104-8,US,734-997-9414,8-AKD,Archie K. Douglas,8
RAHyam,HyamRA,0009 - Rory A. Hyam,17 Hidden Valley Road,Chambersburg,PA,17201-9,US,717-261-3178,9-RAH,Rory A. Hyam,9
ELSmith,SmithEL,0010 - Erin L. Smith,719 Glory Road,Manchester,TN,37355-10,US,931-728-9490,10-ELS,Erin L. Smith,10
IAMilne,MilneIA,0011 - Izaak A. Milne,3461 Chapmans Lane,Chaparral,NM,88004-11,US,505-824-7134,11-IAM,Izaak A. Milne,11
SLLeake,LeakeSL,0012 - Sarah L. Leake,2792 Coburn Hollow Road,Princeville,IL,61559-12,US,309-385-6753,12-SLL,Sarah L. Leake,12
CCGreenman,GreenmanCC,0013 - Charles C. Greenman,4529 Felosa Drive,Los Angeles,CA,90063-13,US,323-980-9502,13-CCG,Charles C. Greenman,13
WVReich,ReichWV,0014 - William V. Reich,3190 Parrill Court,Whiting,IN,46394-14,US,219-473-2799,14-WVR,William V. Reich,14
AAGump,GumpAA,0015 - Angus A. Gump,1006 Chipmunk Lane,Warren,ME,04864-15,US,207-273-6538,15-AAA,Angus A. Gump,15
APWere,WereAP,0016 - Aaron P. Were,320 Edwards Street,Rocky Mount,NC,27801-16,US,252-724-4390,16-APW,Aaron P. Were,16
JCDe Burgh,De BurghJC,0017 - Jorja C. De Burgh,4957 Reel Avenue,Las Cruces,NM,88001-17,US,505-373-3676,17-JCD,Jorja C. De Burgh,17
MEBruce,BruceME,0018 - Madeline E. Bruce,4480 Sugarfoot Lane,Indianapolis,IN,46225-18,US,765-416-1970,18-MEB,Madeline E. Bruce,18
BBWeeks,WeeksBB,0019 - Bruce B. Weeks,4316 Oakwood Avenue,New York,NY,10021-19,US,212-606-3764,19-BBW,Bruce B. Weeks,19
CSHamilton,HamiltonCS,0020 - Calum S. Hamilton,3161 Bingamon Branch Road,Wheeling,IL,60090-20,US,847-215-3177,20-CSH,Calum S. Hamilton,20
LJHenry,HenryLJ,0021 - Linda J. Henry,64 Comfort Court,Madison,WI,53703-21,US,608-316-9259,21-LJH,Linda J. Henry,21
GLSmith,SmithGL,0022 - George L. Smith,464 Eagles Nest Drive,Chico,CA,95926-22,US,530-690-4748,22-GLS,George L. Smith,22
JJMorrison,MorrisonJJ,0023 - Julia J. Morrison,247 Sycamore Fork Road,Bloomington,MN,55437-23,US,952-956-2265,23-JJM,Julia J. Morrison,23
DAPimentel,PimentelDA,0024 - Doris A. Pimentel,574 Stanton Hollow Road,Needham,MA,02192-24,US,781-562-3113,24-DAP,Doris A. Pimentel,24
ECMartin,MartinEC,0025 - Elizabeth C. Martin,4379 Sun Valley Road,Sunnyside,WA,98944-25,US,509-839-9114,25-ECM,Elizabeth C. Martin,25
SHSlater,SlaterSH,0026 - Sara H. Slater,1446 Red Maple Drive,South Gate,CA,90280-26,US,323-357-7628,26-SHS,Sara H. Slater,26
WCHenderson,HendersonWC,0027 - Willow C. Henderson,4642 West Street,Grand Rapids,MI,49503-27,US,616-713-8249,27-WCH,Willow C. Henderson,27
SNForbes,ForbesSN,0028 - Sian N. Forbes,1610 Saint Francis Way,New Berlin,WI,53151-28,US,262-902-3782,28-SNF,Sian N. Forbes,28
SAAffleck,AffleckSA,0029 - Sean A. Affleck,1019 Argonne Street,Newark,DE,19714-29,US,302-248-8228,29-SAA,Sean A. Affleck,29
BBHunter,HunterBB,0030 - Bethan B. Hunter,731 Five Points,Baltimore,MD,21202-30,US,443-241-9421,30-BBH,Bethan B. Hunter,30
KJSmithies,SmithiesKJ,0031 - Kaitlyn J. Smithies,4860 Margaret Street,Houston,TX,77032-31,US,713-927-3366,31-KJS,Kaitlyn J. Smithies,31
VWLewis,LewisVW,0032 - Virginia W. Lewis,2850 Roosevelt Wilson Lane,San Bernardino,CA,92410-32,US,909-891-7873,32-VWL,Virginia W. Lewis,32
WGKerby,KerbyWG,0033 - William G. Kerby,3081 Rardin Drive,Redwood City,CA,94063-33,US,650-701-4286,33-WGK,William G. Kerby,33
NHProwse,ProwseNH,0034 - Natalie H. Prowse,2335 Stanley Avenue,Huntington,NY,11743-34,US,516-448-3878,34-NHP,Natalie H. Prowse,34
LLSinclair,SinclairLL,0035 - Lukas L. Sinclair,427 Crestview Manor,Indianapolis,IN,46220-35,US,317-254-2619,35-LLS,Lukas L. Sinclair,35
ASMorrison,MorrisonAS,0036 - Alyx S. Morrison,1529 Heavens Way,Irvine,CA,92714-36,US,949-223-1883,36-ASM,Alyx S. Morrison,36
CMRudy,RudyCM,0037 - Charles M. Rudy,1637 Water Street,Oakland,CA,94606-37,US,925-263-3549,37-CMR,Charles M. Rudy,37
OVTweddle,TweddleOV,0038 - Oscar V. Tweddle,4591 Scenic Way,Niantic,IL,62551-38,US,217-668-1037,38-OVT,Oscar V. Tweddle,38
STMcEwen,McEwenST,0039 - Stella T. McEwen,2032 Comfort Court,Madison,WI,53718-39,US,608-235-6385,39-STM,Stella T. McEwen,39
VAJones,JonesVA,0040 - Verna A. Jones,3795 Lowland Drive,Vernon Hills,IL,60061-40,US,815-345-7196,40-VAJ,Verna A. Jones,40
SBReinhold,ReinholdSB,0041 - Samantha B. Reinhold,1426 Payne Street,Clincho,VA,24226-41,US,276-835-2611,41-SBR,Samantha B. Reinhold,41
DMRubio,RubioDM,0042 - Daniel M. Rubio,3473 Lords Way,Bolivar,TN,38008-42,US,731-658-7204,42-DMR,Daniel M. Rubio,42
HWScott,ScottHW,0043 - Hilda W. Scott,2669 Seth Street,Ozona,TX,76943-43,US,325-392-8954,43-HWS,Hilda W. Scott,43
DDLoy,LoyDD,0044 - Douglas D. Loy,2023 Barfield Lane,Indianapolis,IN,46268-44,US,317-531-4935,44-DDL,Douglas D. Loy,44
MADasilva,DasilvaMA,0045 - Mary A. Dasilva,2595 Terra Cotta Street,Federal Dam,MN,56641-45,US,218-654-9712,45-MAD,Mary A. Dasilva,45
LAO'Neill,O'NeillLA,0046 - Lara A. O'Neill,2275 Richison Drive,Billings,MT,59101-46,US,406-272-4601,46-LAO,Lara A. O'Neill,46
ASBell,BellAS,0047 - Aimee-leigh S. Bell,880 Leisure Lane,Fillmore,CA,93015-47,US,805-524-8546,47-ASB,Aimee-leigh S. Bell,47
SMFurphy,FurphySM,0048 - Stephanie M. Furphy,4523 Heritage Road,Fresno,CA,93721-48,US,559-792-1589,48-SMF,Stephanie M. Furphy,48
ARDavidson,DavidsonAR,0049 - Ami R. Davidson,4628 Wood Street,Metairie,LA,70001-49,US,985-969-9776,49-ARD,Ami R. Davidson,49
RESergeyev,SergeyevRE,0050 - Ryder E. Sergeyev,2998 Thrash Trail,Tyler,TX,75710-50,US,903-565-1849,50-RES,Ryder E. Sergeyev,50
MIMacleod,MacleodMI,0051 - Maeve I. Macleod,3623 Brentwood Drive,Austin,TX,78701-51,US,512-841-0209,51-MIM,Maeve I. Macleod,51
AMPisano,PisanoAM,0052 - Adeline M. Pisano,4055 Eastland Avenue,Jackson,MS,39212-52,US,601-372-2457,52-AMP,Adeline M. Pisano,52
NMClark,ClarkNM,0053 - Neve M. Clark,3793 College View,Palestine,IL,62451-53,US,618-586-2211,53-NMC,Neve M. Clark,53
KMWright,WrightKM,0054 - Kelli M. Wright,2939 Lords Way,Memphis,TN,38110-54,US,731-607-8529,54-KMW,Kelli M. Wright,54
PMDuncan,DuncanPM,0055 - Poppy M. Duncan,2546 Margaret Street,Houston,TX,77007-55,US,713-866-3967,55-PMD,Poppy M. Duncan,55
LARobertson,RobertsonLA,0056 - Lucie A. Robertson,3643 Vesta Drive,Chicago,IL,60605-56,US,773-653-7541,56-LAR,Lucie A. Robertson,56
EJPaige,PaigeEJ,0057 - Ellen J. Paige,804 Aaron Smith Drive,Harrisburg,PA,17116-57,US,717-785-0187,57-EJP,Ellen J. Paige,57
VNThompson,ThompsonVN,0058 - Vicki N. Thompson,4413 Farnum Road,New York,NY,10013-58,US,212-287-7944,58-VNT,Vicki N. Thompson,58
AXMorrison,MorrisonAX,0059 - Ashton X. Morrison,3524 Hiney Road,Las Vegas,NV,89119-59,US,702-262-2189,59-AXM,Ashton X. Morrison,59
AEStillwell,StillwellAE,0060 - Alfredo E. Stillwell,2563 Saint James Drive,Harrisburg,PA,17101-60,US,717-459-1433,60-AES,Alfredo E. Stillwell,60
KCWood,WoodKC,0061 - Kiera C. Wood,182 Rebecca Street,Northbrook,IL,60062-61,US,847-714-5219,61-KCW,Kiera C. Wood,61
NLEyre,EyreNL,0062 - Nicholas L. Eyre,1788 Logan Lane,Nederland,CO,80466-62,US,303-258-2054,62-NLE,Nicholas L. Eyre,62
CEFrodsham,FrodshamCE,0063 - Charlie E. Frodsham,4971 Cabell Avenue,Dulles,VA,20166-63,US,703-572-8499,63-CEF,Charlie E. Frodsham,63
MIMacDonald,MacDonaldMI,0064 - Michaela I. MacDonald,2257 Swick Hill Street,New Orleans,LA,70113-64,US,985-248-2585,64-MIM,Michaela I. MacDonald,64
